,B19058_002E,zip code tabulation area
567,174.0,02492
568,105.0,02493
569,151.0,02494
570,368.0,02532
571,0.0,02534
572,22.0,02535
573,813.0,02536
574,109.0,02537
575,281.0,02538
576,18.0,02539
577,442.0,02540
578,26.0,02542
579,4.0,02543
580,0.0,02553
581,207.0,02554
582,15.0,02556
583,99.0,02557
584,145.0,02558
585,61.0,02559
586,0.0,02561
587,30.0,02562
588,133.0,02563
589,0.0,02564
590,58.0,02568
591,872.0,02571
592,30.0,02575
593,85.0,02576
594,0.0,02584
595,1501.0,02601
596,42.0,02630
597,288.0,02631
598,184.0,02632
599,161.0,02633
600,45.0,02635
601,13.0,02637
602,68.0,02638
603,184.0,02639
604,9.0,02641
605,144.0,02642
606,0.0,02643
607,126.0,02644
608,232.0,02645
609,53.0,02646
610,0.0,02647
611,189.0,02648
612,356.0,02649
613,0.0,02650
614,0.0,02651
615,0.0,02652
616,360.0,02653
617,36.0,02655
618,194.0,02657
619,32.0,02659
620,452.0,02660
621,9.0,02663
622,411.0,02664
623,5.0,02666
624,175.0,02667
625,22.0,02668
626,0.0,02669
627,55.0,02670
628,29.0,02671
629,0.0,02672
630,301.0,02673
631,99.0,02675
632,171.0,02702
633,2366.0,02703
634,0.0,02713
635,85.0,02715
636,120.0,02717
637,273.0,02718
638,591.0,02719
639,2613.0,02720
640,3773.0,02721
641,2107.0,02723
642,2445.0,02724
643,151.0,02725
644,436.0,02726
645,181.0,02738
646,77.0,02739
647,5112.0,02740
648,445.0,02743
649,1458.0,02744
650,1511.0,02745
651,2388.0,02746
652,784.0,02747
653,305.0,02748
654,885.0,02760
655,255.0,02762
656,18.0,02763
657,99.0,02764
658,368.0,02766
659,456.0,02767
660,97.0,02769
661,103.0,02770
662,537.0,02771
663,495.0,02777
664,127.0,02779
665,4020.0,02780
666,404.0,02790
667,0.0,02791
668,72.0,02802
669,20.0,02804
670,159.0,02806
671,23.0,02807
672,56.0,02808
673,1070.0,02809
674,11.0,02812
675,248.0,02813
676,305.0,02814
677,0.0,02815
678,1729.0,02816
679,110.0,02817
680,381.0,02818
681,282.0,02822
682,176.0,02825
683,24.0,02826
684,42.0,02827
685,152.0,02828
686,222.0,02830
687,33.0,02831
688,230.0,02832
689,50.0,02833
690,55.0,02835
691,0.0,02836
692,135.0,02837
693,267.0,02838
694,120.0,02839
695,1684.0,02840
696,0.0,02841
697,620.0,02842
698,1084.0,02852
699,162.0,02857
700,58.0,02858
701,339.0,02859
702,5645.0,02860
703,1746.0,02861
704,2658.0,02863
705,1371.0,02864
706,661.0,02865
707,548.0,02871
708,0.0,02872
709,0.0,02873
710,59.0,02874
711,0.0,02875
712,40.0,02876
713,539.0,02878
714,730.0,02879
715,37.0,02881
716,339.0,02882
717,730.0,02885
718,1921.0,02886
719,798.0,02888
720,1438.0,02889
721,1112.0,02891
722,57.0,02892
723,2683.0,02893
724,12.0,02894
725,5123.0,02895
726,258.0,02896
727,0.0,02898
728,1325.0,02903
729,2915.0,02904
730,2880.0,02905
731,651.0,02906
732,4273.0,02907
733,3469.0,02908
734,6584.0,02909
735,796.0,02910
736,1034.0,02911
737,0.0,02912
738,2028.0,02914
739,1018.0,02915
740,396.0,02916
741,322.0,02917
742,1528.0,02919
743,1955.0,02920
744,254.0,02921
745,63.0,03031
746,52.0,03032
747,7.0,03033
748,88.0,03034
749,61.0,03036
750,74.0,03037
751,1008.0,03038
752,81.0,03042
753,34.0,03043
754,38.0,03044
755,358.0,03045
756,41.0,03046
757,42.0,03047
758,124.0,03048
759,45.0,03049
760,539.0,03051
761,49.0,03052
762,323.0,03053
763,316.0,03054
764,235.0,03055
765,26.0,03057
766,2064.0,03060
767,487.0,03062
768,326.0,03063
769,833.0,03064
770,33.0,03070
771,166.0,03071
772,224.0,03076
773,523.0,03077
774,472.0,03079
775,20.0,03082
776,9.0,03084
777,35.0,03086
778,40.0,03087
779,333.0,03101
780,1963.0,03102
781,2719.0,03103
782,1751.0,03104
783,312.0,03106
784,253.0,03109
785,118.0,03110
786,0.0,03215
787,47.0,03216
788,139.0,03217
789,16.0,03218
790,291.0,03220
791,44.0,03221
792,157.0,03222
793,134.0,03223
794,30.0,03224
795,55.0,03225
796,28.0,03226
797,37.0,03227
798,72.0,03229
799,29.0,03230
800,0.0,03231
801,0.0,03233
802,104.0,03234
803,696.0,03235
804,78.0,03237
805,3.0,03238
806,34.0,03240
807,23.0,03241
808,98.0,03242
809,8.0,03243
810,262.0,03244
811,80.0,03245
812,1166.0,03246
813,207.0,03249
814,44.0,03251
815,249.0,03253
816,40.0,03254
817,51.0,03255
818,68.0,03256
819,45.0,03257
820,77.0,03258
821,2.0,03259
822,0.0,03260
823,122.0,03261
824,10.0,03262
825,401.0,03263
826,244.0,03264
827,93.0,03266
828,23.0,03268
829,54.0,03269
830,13.0,03273
831,378.0,03275
832,384.0,03276
833,71.0,03278
834,31.0,03279
835,10.0,03280
836,126.0,03281
837,16.0,03282
838,5.0,03284
839,40.0,03285
840,37.0,03287
841,45.0,03290
842,0.0,03291
843,14.0,03293
844,1856.0,03301
845,586.0,03303
846,112.0,03304
847,133.0,03307
848,1303.0,03431
849,116.0,03440
850,0.0,03441
851,46.0,03442
852,0.0,03443
853,29.0,03444
854,29.0,03445
855,204.0,03446
856,61.0,03447
857,26.0,03448
858,21.0,03449
859,24.0,03450
860,240.0,03451
861,141.0,03452
862,72.0,03455
863,16.0,03456
864,17.0,03457
865,197.0,03458
866,122.0,03461
867,17.0,03462
868,24.0,03464
869,88.0,03465
870,0.0,03466
871,22.0,03467
872,391.0,03470
873,430.0,03561
874,891.0,03570
875,196.0,03574
876,0.0,03575
877,174.0,03576
878,18.0,03579
879,15.0,03580
880,195.0,03581
881,160.0,03582
882,27.0,03583
883,159.0,03584
884,113.0,03585
885,2.0,03586
886,45.0,03588
887,111.0,03590
888,31.0,03592
889,4.0,03593
890,18.0,03595
891,21.0,03597
892,261.0,03598
893,16.0,03601
894,105.0,03602
895,168.0,03603
896,51.0,03604
897,26.0,03605
898,15.0,03607
899,17.0,03608
900,36.0,03609
901,10.0,03740
902,113.0,03741
903,1007.0,03743
904,31.0,03745
905,0.0,03746
906,60.0,03748
907,0.0,03750
908,0.0,03751
909,11.0,03752
910,44.0,03753
911,33.0,03754
912,97.0,03755
913,20.0,03765
914,363.0,03766
915,3.0,03768
916,0.0,03770
917,8.0,03771
918,290.0,03773
919,86.0,03774
920,32.0,03777
921,8.0,03779
922,0.0,03780
923,17.0,03781
924,59.0,03782
925,228.0,03784
926,97.0,03785
927,763.0,03801
928,104.0,03809
929,23.0,03810
930,72.0,03811
931,25.0,03812
932,55.0,03813
933,221.0,03814
934,62.0,03816
935,125.0,03817
936,309.0,03818
937,94.0,03819
938,1067.0,03820
939,6.0,03823
940,126.0,03824
941,161.0,03825
942,0.0,03826
943,37.0,03827
944,79.0,03830
945,6.0,03832
946,439.0,03833
947,346.0,03835
948,15.0,03836
949,0.0,03837
950,32.0,03838
951,251.0,03839
952,11.0,03840
953,98.0,03841
954,331.0,03842
955,0.0,03844
956,51.0,03845
957,13.0,03846
958,0.0,03847
959,156.0,03848
960,71.0,03849
961,13.0,03850
962,248.0,03851
963,22.0,03852
964,0.0,03853
965,0.0,03854
966,86.0,03855
967,10.0,03856
968,134.0,03857
969,130.0,03858
970,110.0,03860
971,0.0,03861
972,72.0,03862
973,99.0,03864
974,108.0,03865
975,1470.0,03867
976,114.0,03868
977,37.0,03869
978,32.0,03870
979,0.0,03871
980,129.0,03872
981,26.0,03873
982,333.0,03874
983,0.0,03875
984,701.0,03878
985,71.0,03882
986,22.0,03883
987,79.0,03884
988,0.0,03885
989,165.0,03886
990,66.0,03887
991,11.0,03890
992,227.0,03894
993,245.0,03901
994,69.0,03902
995,176.0,03903
996,233.0,03904
997,40.0,03905
998,267.0,03906
999,21.0,03907
1000,252.0,03908
1001,179.0,03909
1002,0.0,03910
1003,16.0,03911
1004,126.0,04001
1005,251.0,04002
1006,11.0,04003
1007,1923.0,04005
1008,0.0,04006
1009,84.0,04008
1010,275.0,04009
1011,36.0,04010
1012,975.0,04011
1013,184.0,04015
1014,0.0,04017
1015,0.0,04019
1016,148.0,04020
1017,86.0,04021
1018,14.0,04022
1019,7.0,04024
1020,198.0,04027
1021,62.0,04029
1022,64.0,04030
1023,189.0,04032
1024,110.0,04037
1025,330.0,04038
1026,212.0,04039
1027,201.0,04040
1028,60.0,04041
1029,243.0,04042
1030,292.0,04043
1031,169.0,04046
1032,164.0,04047
1033,276.0,04048
1034,244.0,04049
1035,11.0,04050
1036,45.0,04051
1037,163.0,04055
1038,27.0,04056
1039,0.0,04057
1040,80.0,04061
1041,507.0,04062
1042,81.0,04063
1043,515.0,04064
1044,10.0,04066
1045,106.0,04068
1046,21.0,04069
1047,91.0,04071
1048,785.0,04072
1049,1774.0,04073
1050,328.0,04074
1051,102.0,04076
1052,91.0,04079
1053,268.0,04083
1054,136.0,04084
1055,54.0,04085
1056,337.0,04086
1057,89.0,04087
1058,65.0,04088
1059,406.0,04090
1060,35.0,04091
1061,1558.0,04092
1062,404.0,04093
1063,71.0,04095
1064,199.0,04096
1065,22.0,04097
1066,2408.0,04101
1067,1494.0,04102
1068,1601.0,04103
1069,126.0,04105
1070,1308.0,04106
1071,88.0,04107
1072,24.0,04108
1073,5.0,04109
1074,0.0,04110
1075,2168.0,04210
1076,26.0,04216
1077,229.0,04217
1078,106.0,04219
1079,176.0,04220
1080,69.0,04221
1081,74.0,04222
1082,286.0,04224
1083,12.0,04226
1084,0.0,04227
1085,30.0,04228
1086,18.0,04231
1087,0.0,04234
1088,86.0,04236
1089,4.0,04237
1090,52.0,04238
1091,157.0,04239
1092,4136.0,04240
1093,395.0,04250
1094,196.0,04252
1095,119.0,04253
1096,533.0,04254
1097,23.0,04255
1098,174.0,04256
1099,311.0,04257
1100,92.0,04258
1101,127.0,04259
1102,97.0,04260
1103,18.0,04261
1104,193.0,04263
1105,71.0,04265
1106,0.0,04267
1107,422.0,04268
1108,530.0,04270
1109,0.0,04271
1110,509.0,04274
1111,29.0,04275
1112,603.0,04276
1113,358.0,04280
1114,572.0,04281
1115,294.0,04282
1116,31.0,04284
1117,16.0,04285
1118,11.0,04286
1119,113.0,04287
1120,134.0,04289
1121,66.0,04290
1122,45.0,04292
1123,378.0,04294
1124,2525.0,04330
1125,78.0,04342
1126,0.0,04343
1127,309.0,04344
1128,690.0,04345
1129,205.0,04346
1130,126.0,04347
1131,211.0,04348
1132,52.0,04349
1133,195.0,04350
1134,82.0,04351
1135,126.0,04352
1136,184.0,04353
1137,68.0,04354
1138,96.0,04355
1139,289.0,04357
1140,258.0,04358
1141,51.0,04359
1142,28.0,04360
1143,139.0,04363
1144,413.0,04364
1145,3905.0,04401
1146,49.0,04406
1147,1.0,04408
1148,114.0,04410
1149,87.0,04411
1150,659.0,04412
1151,10.0,04413
1152,168.0,04414
1153,28.0,04415
1154,468.0,04416
1155,19.0,04417
1156,174.0,04418
1157,117.0,04419
1158,14.0,04421
1159,73.0,04422
1160,105.0,04424
1161,369.0,04426
1162,175.0,04427
1163,178.0,04428
1164,332.0,04429
1165,191.0,04430
1166,0.0,04431
1167,104.0,04434
1168,39.0,04435
1169,86.0,04438
1170,166.0,04441
1171,4.0,04442
1172,267.0,04443
1173,199.0,04444
1174,168.0,04448
1175,130.0,04449
1176,82.0,04450
1177,39.0,04451
1178,65.0,04453
1179,0.0,04454
1180,64.0,04455
1181,166.0,04456
1182,674.0,04457
1183,119.0,04459
1184,80.0,04460
1185,185.0,04461
1186,540.0,04462
1187,468.0,04463
1188,44.0,04464
1189,847.0,04468
1190,0.0,04469
1191,96.0,04471
1192,99.0,04472
1193,344.0,04473
1194,213.0,04474
1195,28.0,04475
1196,65.0,04476
1197,0.0,04478
1198,113.0,04479
1199,52.0,04481
1200,3.0,04485
1201,120.0,04487
1202,83.0,04488
1203,9.0,04489
1204,18.0,04490
1205,13.0,04491
1206,25.0,04492
1207,152.0,04493
1208,71.0,04495
1209,227.0,04496
1210,36.0,04497
1211,933.0,04530
1212,46.0,04535
1213,84.0,04537
1214,145.0,04538
1215,22.0,04539
1216,0.0,04541
1217,74.0,04543
1218,0.0,04544
1219,34.0,04547
1220,12.0,04548
1221,39.0,04551
1222,58.0,04553
1223,28.0,04554
1224,99.0,04555
1225,42.0,04556
1226,9.0,04558
1227,76.0,04562
1228,44.0,04563
1229,0.0,04564
1230,25.0,04568
1231,0.0,04570
1232,0.0,04571
1233,562.0,04572
1234,20.0,04573
1235,122.0,04574
1236,0.0,04575
1237,23.0,04576
1238,283.0,04578
1239,55.0,04579
1240,957.0,04605
1241,103.0,04606
1242,64.0,04607
1243,174.0,04609
1244,37.0,04611
1245,7.0,04612
1246,4.0,04613
1247,145.0,04614
1248,20.0,04616
1249,24.0,04617
1250,416.0,04619
1251,132.0,04622
1252,80.0,04623
1253,13.0,04624
1254,0.0,04625
1255,42.0,04626
1256,80.0,04627
1257,78.0,04628
1258,37.0,04629
1259,109.0,04630
1260,174.0,04631
1261,195.0,04634
1262,0.0,04635
1263,3.0,04637
1264,148.0,04640
1265,4.0,04642
1266,67.0,04643
1267,0.0,04644
1268,0.0,04645
1269,4.0,04646
1270,93.0,04648
1271,177.0,04649
1272,0.0,04650
1273,243.0,04652
1274,54.0,04653
1275,399.0,04654
1276,74.0,04655
1277,12.0,04657
1278,149.0,04658
1279,20.0,04660
1280,10.0,04662
1281,73.0,04664
1282,95.0,04666
1283,171.0,04667
1284,269.0,04668
1285,6.0,04669
1286,22.0,04671
1287,3.0,04673
1288,3.0,04674
1289,5.0,04675
1290,69.0,04676
1291,12.0,04677
1292,76.0,04679
1293,90.0,04680
1294,79.0,04681
1295,17.0,04683
1296,67.0,04684
1297,36.0,04685
1298,2.0,04686
1299,21.0,04691
1300,36.0,04693
1301,212.0,04694
1302,1038.0,04730
1303,132.0,04732
1304,12.0,04733
1305,59.0,04734
1306,40.0,04735
1307,964.0,04736
1308,54.0,04739
1309,82.0,04740
1310,0.0,04741
1311,359.0,04742
1312,360.0,04743
1313,61.0,04745
1314,69.0,04746
1315,122.0,04747
1316,256.0,04750
1317,272.0,04756
1318,203.0,04757
1319,124.0,04758
1320,91.0,04760
1321,44.0,04761
1322,40.0,04762
1323,74.0,04763
1324,1.0,04764
1325,110.0,04765
1326,16.0,04766
1327,24.0,04768
1328,1051.0,04769
1329,68.0,04772
1330,81.0,04773
1331,93.0,04774
1332,95.0,04776
1333,58.0,04777
1334,25.0,04779
1335,93.0,04780
1336,55.0,04781
1337,20.0,04783
1338,360.0,04785
1339,194.0,04786
1340,35.0,04787
1341,794.0,04841
1342,133.0,04843
1343,56.0,04847
1344,22.0,04848
1345,111.0,04849
1346,0.0,04851
1347,0.0,04852
1348,5.0,04853
1349,60.0,04854
1350,0.0,04855
1351,87.0,04856
1352,60.0,04858
1353,11.0,04859
1354,45.0,04860
1355,287.0,04861
1356,144.0,04862
1357,59.0,04863
1358,310.0,04864
1359,2615.0,04901
1360,125.0,04910
1361,250.0,04911
1362,109.0,04912
1363,837.0,04915
1364,108.0,04917
1365,8.0,04918
1366,141.0,04920
1367,222.0,04921
1368,154.0,04922
1369,72.0,04923
1370,221.0,04924
1371,4.0,04925
1372,0.0,04926
1373,333.0,04927
1374,160.0,04928
1375,99.0,04929
1376,563.0,04930
1377,51.0,04932
1378,0.0,04933
1379,2.0,04936
1380,687.0,04937
1381,627.0,04938
1382,118.0,04939
1383,0.0,04940
1384,93.0,04941
1385,157.0,04942
1386,222.0,04943
1387,0.0,04944
1388,74.0,04945
1389,87.0,04947
1390,71.0,04949
1391,548.0,04950
1392,65.0,04951
1393,106.0,04952
1394,355.0,04953
1395,71.0,04955
1396,40.0,04956
1397,354.0,04957
1398,163.0,04958
1399,36.0,04961
1400,0.0,04962
1401,407.0,04963
1402,5.0,04964
1403,176.0,04965
1404,202.0,04966
1405,311.0,04967
1406,66.0,04969
1407,39.0,04970
