,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,state,zip code tabulation area (or part)
5583,"ZCTA5 30124, Georgia",2978.0,2696.0,219.0,0.0,19.0,2.0,10.0,32.0,2941.0,44.5,44.1,44.9,1169.0,2.45,663.0,13,30124
5584,"ZCTA5 30125, Georgia",24352.0,17892.0,2852.0,84.0,174.0,28.0,2844.0,478.0,19997.0,35.3,33.1,37.4,8688.0,2.76,6604.0,13,30125
5585,"ZCTA5 30126, Georgia",37088.0,17593.0,14132.0,220.0,1171.0,22.0,2857.0,1093.0,31093.0,34.6,33.9,35.3,13665.0,2.71,10193.0,13,30126
5586,"ZCTA5 30127, Georgia",60347.0,33603.0,22510.0,134.0,923.0,12.0,1693.0,1472.0,56207.0,37.1,35.5,38.2,19921.0,3.02,17681.0,13,30127
5587,"ZCTA5 30132, Georgia",34215.0,26938.0,5440.0,106.0,347.0,23.0,522.0,839.0,32458.0,33.6,32.6,34.5,11729.0,2.86,10266.0,13,30132
5588,"ZCTA5 30134, Georgia",43356.0,23101.0,16698.0,155.0,345.0,29.0,1884.0,1144.0,39439.0,33.1,31.5,34.3,14558.0,2.91,12911.0,13,30134
5589,"ZCTA5 30135, Georgia",61912.0,35037.0,22469.0,162.0,1037.0,59.0,1679.0,1469.0,57714.0,36.0,34.9,36.9,21025.0,2.93,17892.0,13,30135
5590,"ZCTA5 30137, Georgia",1650.0,1392.0,135.0,9.0,6.0,0.0,77.0,31.0,1460.0,37.8,35.8,39.5,603.0,2.74,423.0,13,30137
5591,"ZCTA5 30139, Georgia",3845.0,3749.0,47.0,9.0,5.0,0.0,17.0,18.0,3797.0,39.8,39.2,40.4,1482.0,2.59,926.0,13,30139
5592,"ZCTA5 30141, Georgia",22457.0,16122.0,5091.0,70.0,221.0,12.0,421.0,520.0,21258.0,34.7,33.7,35.4,7802.0,2.88,6476.0,13,30141
5593,"ZCTA5 30143, Georgia",21145.0,20228.0,224.0,54.0,109.0,5.0,323.0,202.0,20459.0,44.5,43.1,45.7,8325.0,2.51,4473.0,13,30143
5594,"ZCTA5 30144, Georgia",52252.0,35829.0,10056.0,152.0,2678.0,24.0,1894.0,1619.0,47074.0,30.2,29.3,31.0,19030.0,2.59,12122.0,13,30144
5595,"ZCTA5 30145, Georgia",8378.0,7542.0,583.0,26.0,24.0,1.0,80.0,122.0,8154.0,37.1,36.5,37.6,2811.0,2.98,2368.0,13,30145
5596,"ZCTA5 30147, Georgia",4365.0,4056.0,103.0,8.0,45.0,1.0,95.0,57.0,4189.0,39.1,38.5,39.6,1650.0,2.65,1059.0,13,30147
5597,"ZCTA5 30148, Georgia",453.0,443.0,0.0,0.0,2.0,0.0,0.0,8.0,444.0,46.1,46.0,46.1,188.0,2.41,87.0,13,30148
5598,"ZCTA5 30149, Georgia",1569.0,1387.0,106.0,4.0,37.0,6.0,25.0,4.0,1505.0,19.7,19.8,19.6,37.0,3.0,73.0,13,30149
5599,"ZCTA5 30152, Georgia",40393.0,29376.0,6540.0,125.0,1728.0,27.0,1703.0,894.0,36720.0,36.2,35.0,37.2,14285.0,2.81,11429.0,13,30152
5600,"ZCTA5 30153, Georgia",18411.0,15073.0,2557.0,37.0,106.0,5.0,301.0,332.0,17824.0,35.9,34.9,37.0,6809.0,2.7,4978.0,13,30153
5601,"ZCTA5 30157, Georgia",45123.0,36248.0,6599.0,143.0,350.0,12.0,773.0,998.0,42747.0,33.6,32.7,34.5,15376.0,2.93,13383.0,13,30157
5602,"ZCTA5 30168, Georgia",24241.0,5370.0,15006.0,120.0,171.0,15.0,2890.0,669.0,18893.0,30.3,29.1,31.3,8777.0,2.76,7600.0,13,30168
