,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,state,zip code tabulation area (or part)
536,"ZCTA5 36507, Alabama",19090.0,14012.0,4310.0,216.0,107.0,2.0,139.0,304.0,18777.0,37.8,37.1,38.5,6968.0,2.58,4598.0,01,36507
537,"ZCTA5 36509, Alabama",1983.0,1124.0,272.0,3.0,501.0,0.0,20.0,63.0,1932.0,33.5,32.7,34.8,667.0,2.97,566.0,01,36509
538,"ZCTA5 36511, Alabama",764.0,666.0,12.0,5.0,2.0,1.0,70.0,8.0,620.0,36.4,37.6,33.8,292.0,2.62,181.0,01,36511
539,"ZCTA5 36512, Alabama",46.0,28.0,16.0,1.0,0.0,0.0,0.0,1.0,45.0,37.5,38.5,35.5,25.0,1.84,9.0,01,36512
540,"ZCTA5 36513, Alabama",555.0,188.0,298.0,46.0,0.0,0.0,6.0,17.0,545.0,39.1,37.6,41.0,207.0,2.68,142.0,01,36513
541,"ZCTA5 36518, Alabama",2842.0,2354.0,462.0,7.0,1.0,0.0,5.0,13.0,2823.0,40.6,38.6,42.6,1079.0,2.5,698.0,01,36518
542,"ZCTA5 36521, Alabama",5431.0,4768.0,378.0,168.0,8.0,0.0,18.0,91.0,5382.0,37.9,37.8,38.0,1973.0,2.75,1375.0,01,36521
543,"ZCTA5 36522, Alabama",7183.0,5217.0,1195.0,517.0,24.0,0.0,79.0,151.0,7027.0,37.1,36.0,38.1,2595.0,2.74,1935.0,01,36522
544,"ZCTA5 36523, Alabama",2818.0,2552.0,68.0,9.0,91.0,2.0,55.0,41.0,2738.0,43.7,42.8,44.5,1057.0,2.67,627.0,01,36523
545,"ZCTA5 36524, Alabama",1232.0,753.0,456.0,5.0,2.0,0.0,0.0,16.0,1230.0,45.9,45.1,46.7,534.0,2.31,266.0,01,36524
546,"ZCTA5 36525, Alabama",1935.0,1644.0,185.0,34.0,2.0,1.0,37.0,32.0,1876.0,35.8,35.3,36.9,697.0,2.78,486.0,01,36525
547,"ZCTA5 36526, Alabama",27890.0,23272.0,3548.0,112.0,392.0,14.0,215.0,337.0,27126.0,38.9,37.9,39.7,11092.0,2.5,6859.0,01,36526
548,"ZCTA5 36527, Alabama",12109.0,10989.0,626.0,62.0,188.0,15.0,66.0,163.0,11831.0,40.3,39.9,40.6,4700.0,2.57,3189.0,01,36527
549,"ZCTA5 36528, Alabama",1237.0,1204.0,5.0,12.0,2.0,0.0,2.0,12.0,1228.0,53.0,53.7,52.3,581.0,2.11,159.0,01,36528
550,"ZCTA5 36529, Alabama",478.0,365.0,100.0,2.0,0.0,1.0,3.0,7.0,473.0,36.0,31.8,39.5,167.0,2.86,126.0,01,36529
551,"ZCTA5 36530, Alabama",6873.0,6487.0,61.0,43.0,37.0,3.0,118.0,124.0,6630.0,43.7,42.8,44.5,2781.0,2.47,1506.0,01,36530
552,"ZCTA5 36532, Alabama",27829.0,24955.0,2099.0,63.0,147.0,8.0,306.0,251.0,27024.0,44.8,43.3,46.0,11613.0,2.39,6479.0,01,36532
553,"ZCTA5 36535, Alabama",26767.0,21627.0,2891.0,190.0,200.0,22.0,1349.0,488.0,23938.0,40.9,39.2,43.0,10844.0,2.46,5908.0,01,36535
554,"ZCTA5 36538, Alabama",374.0,164.0,205.0,0.0,0.0,0.0,0.0,5.0,370.0,42.2,42.3,42.0,157.0,2.38,96.0,01,36538
555,"ZCTA5 36539, Alabama",802.0,718.0,78.0,0.0,1.0,0.0,4.0,1.0,793.0,38.9,37.4,40.6,302.0,2.66,218.0,01,36539
556,"ZCTA5 36540, Alabama",691.0,204.0,479.0,6.0,0.0,0.0,0.0,2.0,680.0,36.5,36.9,36.2,253.0,2.73,196.0,01,36540
557,"ZCTA5 36541, Alabama",15647.0,13106.0,1816.0,114.0,244.0,9.0,95.0,263.0,15295.0,37.3,36.8,37.9,5526.0,2.82,4102.0,01,36541
558,"ZCTA5 36542, Alabama",12705.0,11800.0,228.0,76.0,99.0,11.0,244.0,247.0,12160.0,41.9,40.3,43.7,5782.0,2.2,2360.0,01,36542
559,"ZCTA5 36543, Alabama",66.0,53.0,0.0,5.0,0.0,0.0,2.0,6.0,64.0,34.0,27.5,39.0,24.0,2.75,19.0,01,36543
560,"ZCTA5 36544, Alabama",12476.0,9676.0,1165.0,80.0,1119.0,2.0,227.0,207.0,12005.0,34.9,34.1,35.6,4230.0,2.95,3447.0,01,36544
561,"ZCTA5 36545, Alabama",9941.0,4963.0,4814.0,50.0,21.0,0.0,29.0,64.0,9835.0,39.8,39.3,40.2,3939.0,2.5,2555.0,01,36545
562,"ZCTA5 36548, Alabama",1136.0,765.0,350.0,4.0,0.0,1.0,4.0,12.0,1133.0,40.7,38.5,41.5,448.0,2.54,280.0,01,36548
563,"ZCTA5 36549, Alabama",4271.0,4038.0,116.0,25.0,16.0,0.0,16.0,60.0,4187.0,61.3,61.0,61.5,2108.0,2.03,467.0,01,36549
564,"ZCTA5 36550, Alabama",217.0,167.0,35.0,10.0,0.0,0.0,0.0,5.0,217.0,49.2,50.0,47.5,94.0,2.31,39.0,01,36550
565,"ZCTA5 36551, Alabama",8258.0,6692.0,1206.0,52.0,31.0,4.0,150.0,123.0,7975.0,36.4,35.9,37.2,2917.0,2.65,1950.0,01,36551
566,"ZCTA5 36553, Alabama",3575.0,930.0,1288.0,1251.0,5.0,8.0,13.0,80.0,3522.0,34.6,32.9,35.4,1304.0,2.74,1030.0,01,36553
567,"ZCTA5 36555, Alabama",654.0,625.0,1.0,6.0,4.0,0.0,13.0,5.0,633.0,51.5,51.8,50.8,296.0,2.21,111.0,01,36555
568,"ZCTA5 36556, Alabama",308.0,155.0,129.0,15.0,1.0,0.0,0.0,8.0,308.0,46.0,42.5,48.2,125.0,2.46,73.0,01,36556
569,"ZCTA5 36558, Alabama",3854.0,3017.0,782.0,13.0,5.0,0.0,4.0,33.0,3828.0,42.0,40.9,43.1,1568.0,2.46,894.0,01,36558
570,"ZCTA5 36559, Alabama",233.0,231.0,0.0,0.0,0.0,0.0,2.0,0.0,231.0,56.1,56.5,54.5,106.0,2.2,35.0,01,36559
571,"ZCTA5 36560, Alabama",3690.0,880.0,1677.0,1052.0,3.0,0.0,17.0,61.0,3652.0,39.3,38.3,40.2,1384.0,2.62,938.0,01,36560
572,"ZCTA5 36561, Alabama",5808.0,5534.0,16.0,41.0,42.0,2.0,73.0,100.0,5676.0,48.4,48.4,48.4,2634.0,2.21,1055.0,01,36561
573,"ZCTA5 36562, Alabama",1596.0,1389.0,140.0,42.0,1.0,0.0,3.0,21.0,1573.0,37.7,37.2,38.4,579.0,2.7,427.0,01,36562
