,B19058_002E,zip code tabulation area
1395,71,4955
1396,40,4956
1397,354,4957
1398,163,4958
1399,36,4961
1400,0,4962
1401,407,4963
1402,5,4964
1403,176,4965
1404,202,4966
1405,311,4967
1406,66,4969
1407,39,4970
1408,133,4971
1409,145,4973
1410,313,4974
1411,0,4975
1412,1154,4976
1413,39,4978
1414,52,4979
1415,153,4981
1416,66,4982
1417,133,4983
1418,35,4984
1419,5,4985
1420,137,4986
1421,90,4987
1422,142,4988
1423,174,4989
1424,0,4992
1425,579,5001
1426,4,5031
1427,159,5032
1428,218,5033
1429,15,5034
1430,30,5035
1431,69,5036
1432,9,5037
1433,96,5038
1434,94,5039
1435,29,5040
1436,23,5041
1437,38,5042
1438,30,5043
1439,66,5045
1440,63,5046
1441,174,5048
1442,19,5050
1443,134,5051
1444,8,5052
1445,10,5053
1446,58,5055
1447,20,5056
1448,7,5058
1449,31,5059
1450,245,5060
1451,44,5061
1452,34,5062
1453,42,5065
1454,3,5067
1455,128,5068
1456,32,5069
1457,14,5070
1458,0,5071
1459,4,5072
1460,41,5075
1461,37,5076
1462,36,5077
1463,52,5079
1464,82,5081
1465,4,5083
1466,0,5084
1467,34,5086
1468,339,5089
1469,79,5091
1470,475,5101
1471,27,5141
1472,53,5142
1473,328,5143
1474,39,5146
1475,40,5148
1476,127,5149
1477,98,5150
1478,118,5151
1479,13,5152
1480,54,5153
1481,42,5154
1482,59,5155
1483,622,5156
1484,46,5158
1485,25,5161
1486,1466,5201
1487,225,5250
1488,32,5251
1489,10,5252
1490,25,5253
1491,0,5254
1492,296,5255
1493,205,5257
1494,18,5260
1495,167,5261
1496,60,5262
1497,1526,5301
1498,2,5340
1499,29,5341
1500,16,5342
1501,46,5343
1502,137,5345
1503,361,5346
1504,79,5350
1505,24,5352
1506,28,5353
1507,74,5354
1508,77,5355
1509,93,5356
1510,2,5358
1511,25,5359
1512,7,5360
1513,21,5361
1514,2,5362
1515,111,5363
1516,2070,5401
1517,667,5403
1518,695,5404
1519,0,5405
1520,641,5408
1521,0,5439
1522,112,5440
1523,19,5441
1524,35,5442
1525,308,5443
1526,42,5444
1527,49,5445
1528,584,5446
1529,13,5447
1530,29,5448
1531,344,5450
1532,844,5452
1533,200,5454
1534,48,5455
1535,40,5456
1536,61,5457
1537,86,5458
1538,181,5459
1539,146,5461
1540,35,5462
1541,29,5463
1542,109,5464
1543,106,5465
1544,540,5468
1545,87,5471
1546,52,5472
1547,51,5473
1548,27,5474
1549,354,5476
1550,43,5477
1551,865,5478
1552,0,5481
1553,64,5482
1554,83,5483
1555,0,5485
1556,52,5486
1557,49,5487
1558,627,5488
1559,46,5489
1560,257,5491
1561,30,5492
1562,43,5494
1563,233,5495
1564,567,5602
1565,6,5640
1566,1378,5641
1567,102,5647
1568,3,5648
1569,13,5649
1570,54,5650
1571,76,5651
1572,38,5652
1573,19,5653
1574,66,5654
1575,194,5655
1576,302,5656
1577,2,5657
1578,90,5658
1579,36,5660
1580,335,5661
1581,122,5663
1582,0,5664
1583,88,5667
1584,35,5669
1585,205,5672
1586,65,5673
1587,41,5674
1588,74,5675
1589,146,5676
1590,164,5677
1591,22,5678
1592,128,5679
1593,114,5680
1594,9,5681
1595,63,5682
1596,1640,5701
1597,0,5730
1598,47,5732
1599,355,5733
1600,75,5734
1601,77,5735
1602,37,5736
1603,12,5737
1604,24,5738
1605,75,5739
1606,0,5740
1607,14,5742
1608,326,5743
1609,22,5744
1610,22,5747
1611,19,5748
1612,14,5751
1613,504,5753
1614,35,5757
1615,14,5758
1616,119,5759
1617,53,5760
1618,75,5761
1619,20,5762
1620,154,5763
1621,188,5764
1622,60,5765
1623,46,5766
1624,85,5767
1625,66,5769
1626,52,5770
1627,22,5772
1628,127,5773
1629,38,5774
1630,26,5775
1631,0,5776
1632,142,5777
1633,25,5778
1634,724,5819
1635,20,5820
1636,45,5821
1637,174,5822
1638,64,5824
1639,15,5825
1640,26,5826
1641,13,5827
1642,59,5828
1643,129,5829
1644,113,5830
1645,34,5832
1646,29,5833
1647,114,5836
1648,31,5837
1649,64,5839
1650,29,5841
1651,43,5842
1652,220,5843
1653,129,5845
1654,131,5846
1655,49,5847
1656,0,5850
1657,611,5851
1658,14,5853
1659,577,5855
1660,91,5857
1661,53,5858
1662,121,5859
1663,257,5860
1664,15,5862
1665,79,5866
1666,32,5867
1667,7,5868
1668,118,5871
1669,90,5872
1670,36,5873
1671,35,5874
1672,21,5875
1673,0,5901
1674,15,5902
1675,82,5903
1676,33,5904
