,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,county,state
1823,36678,5560,13479,11699,3602,2338,44331,5541,7175,4065,5981,4268,5941,3423,2145,5792,14930,15,35
1824,437,45,153,134,88,17,453,14,100,69,97,76,41,21,8,27,101,21,35
1825,3044,330,1152,1175,210,177,3911,830,1078,548,561,338,180,164,44,168,841,33,35
1826,128109,26623,28434,37888,20740,14424,168538,28344,36888,19376,27211,15799,15690,9719,3267,12244,54118,13,35
1827,22191,2516,8205,6675,2825,1970,26994,2951,4916,2751,3554,3398,3802,2435,942,2245,5689,95,36
1828,927374,264309,256066,227450,115670,63879,1148779,240151,230548,123943,161033,105790,114434,72401,27960,72519,361546,5,36
1829,316513,29147,80811,95788,62078,48689,384484,43296,61245,31971,51852,44517,50384,37073,17232,46914,101293,67,36
1830,38651,5042,13794,12985,3778,3052,44913,4803,7363,4277,7268,6327,5783,4023,1519,3550,11002,35,36
1831,55125,7290,20454,15327,6200,5854,69043,10302,12278,6216,9054,8301,8683,6423,2405,5381,14778,19,36
1832,24870,3497,8802,7475,2962,2134,29081,4028,4518,2648,4562,3784,3594,2723,997,2227,6949,99,36
1833,110822,9121,31980,36675,18877,14169,133491,12579,20035,10902,16875,15561,18103,14285,6981,18170,31978,83,36
1834,70373,5076,19539,18632,15619,11507,82991,9866,10339,5261,9429,7616,8996,7976,3841,19667,20689,79,36
1835,35862,4944,13328,10899,3240,3451,43083,8794,7093,3887,5230,4412,5230,3915,1727,2795,9890,33,36
1836,43979,4480,16040,14351,5258,3850,52072,5309,9221,5202,8478,6652,7338,4896,1560,3416,13232,43,36
1837,76354,5165,21491,23984,14319,11395,90925,7575,14487,7314,13443,10629,12830,9093,4079,11475,22741,69,36
1838,1665576,314557,461228,376485,325374,187932,1941166,350752,279954,157847,259941,197805,218228,165761,72367,238511,471956,81,36
1839,68162,6877,25337,20566,7885,7497,79884,8422,13150,8382,13116,9443,10136,7789,2749,6697,21527,101,36
1840,3604,441,1155,1286,313,409,4121,314,850,546,612,535,453,542,88,181,655,41,36
1841,44765,5206,17553,13150,5207,3649,52287,5835,8843,4875,8564,6413,7092,5242,1563,3860,12156,115,36
1842,90242,10368,32162,28566,10576,8570,108699,11483,21845,11137,18565,13071,13827,8653,3580,6538,26981,13,36
1843,1789355,345445,460338,354282,380135,249155,2118407,388569,344896,185320,261999,198462,217982,166913,74679,279587,605769,47,36
